site,watershed,date,latitude,longitude,ph_sonde,ph_lab,temp_deg_c_sonde,temp_lab_deg_c,spc_u_scm_sonde,conductivity_lab_u_scm,alkalinity_mg_ca_co3l,aluminum_dis_ug_l,aluminum_org_ug_l,ali_ug_l,antimony_dis_ug_l,arsenic_dis_ug_l,barium_dis_ug_l,bromide_ug_l,cadmium_dis_ug_l,calcium_dis_mg_l,cerium_dis_ug_l,chloride_mg_l,chromium_dis_ug_l,cobalt_dis_ug_l,copper_dis_ug_l,fluoride_ug_l,hardness_mg_ca_co3l,iron_dis_ug_l,lead_dis_ug_l,lithium_dis_ug_l,magnesium_dis_mg_l,manganese_dis_ug_l,nickel_dis_ug_l,nitrate_ug_l,nitrite_ug_l,phosphate_ug_l,phosphorus_dis_ug_l,potassium_dis_mg_l,selenium_dis_ug_l,silver_dis_ug_l,sodium_dis_mg_l,sulfate_mg_l,tds_mg_l,titanium_dis_ug_l,uranium_dis_ug_l,vanadium_dis_ug_l,zinc_dis_ug_l,avg_dic_mg_l,avg_doc_mg_l,avg_turbidity_ntu,avg_colour_colour_units,cens_ph_sonde,cens_ph_lab,cens_temp_deg_c_sonde,cens_temp_lab_deg_c,cens_spc_u_scm_sonde,cens_conductivity_lab_u_scm,cens_alkalinity_mg_ca_co3l,cens_aluminum_dis_ug_l,cens_aluminum_org_ug_l,cens_ali_ug_l,cens_antimony_dis_ug_l,cens_arsenic_dis_ug_l,cens_barium_dis_ug_l,cens_bromide_ug_l,cens_cadmium_dis_ug_l,cens_calcium_dis_mg_l,cens_cerium_dis_ug_l,cens_chloride_mg_l,cens_chromium_dis_ug_l,cens_cobalt_dis_ug_l,cens_copper_dis_ug_l,cens_fluoride_ug_l,cens_hardness_mg_ca_co3l,cens_iron_dis_ug_l,cens_lead_dis_ug_l,cens_lithium_dis_ug_l,cens_magnesium_dis_mg_l,cens_manganese_dis_ug_l,cens_nickel_dis_ug_l,cens_nitrate_ug_l,cens_nitrite_ug_l,cens_phosphate_ug_l,cens_phosphorus_dis_ug_l,cens_potassium_dis_mg_l,cens_selenium_dis_ug_l,cens_silver_dis_ug_l,cens_sodium_dis_mg_l,cens_sulfate_mg_l,cens_tds_mg_l,cens_titanium_dis_ug_l,cens_uranium_dis_ug_l,cens_vanadium_dis_ug_l,cens_zinc_dis_ug_l,cens_avg_dic_mg_l,cens_avg_doc_mg_l,cens_avg_turbidity_ntu,cens_avg_colour_colour_units,yday
1FR,Fish/Charlotte,2022-06-22,44.808921,-62.886587,5.64,6.1564,19.8,16.2575,35.7,12.7517,1.1504,160.434203,144.7202361,15.713966900000003,2,1.773703535,4.313904523,9,0.4,1.694715136,0.4,4.6812,0.4,0.4,0.7,9,NA,131.5558711,0.4,1.386826844,0.476990834,56.84894635,0.423955851,117.2616,9,10,10,0.370967109,1,0.4,3.356583734,4.6052,53.99946,0.91666423,0.4,0.4,8.657468697,0.68285,7.115,0.9045,40.955,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,left,none,left,left,left,left,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.473972602739726
1GB,Gegogan,2022-06-14,45.082523,-61.99846,5.28,5.7471,18.8,20.0851,36.1,11.1899,1.4305,313.3827135,272.0958074,41.28690610000001,2,149.8034666,3.147108585,9,0.4,1.742591175,0.887014686,6.1405,0.4,0.453902289,0.7,9,NA,596.0405592,0.414127067,2.427126067,0.409734497,110.9401736,0.938096738,24.2045,9,74.1635,21.83648964,0.201435644,1,0.4,3.989818107,1.0848,105.99894,2.796168372,0.4,0.4,22.87966655,1.6725,12.67,1.09,80.005,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,none,left,left,none,none,none,none,none,none,none,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.4520547945205479
1GL,GrandLake,2022-06-22,44.90735,-62.544941,5.01,5.4486,18.3,17.078,28.3,4.5807,0.269,196.6091929,159.5121663,37.09702660000002,2,0.4,3.043197453,9,0.4,0.668632982,0.4,5.029,0.4,0.4,0.7,9,NA,263.6821821,0.4,1.477745144,0.347590765,37.51404769,0.4,33.3769,9,10,14.52974961,0.297634723,1,0.4,3.406982382,1.2294,73.3326,1.550426237,0.4,0.4,11.20208454,1.0717,9.406,4.855,57.655,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,left,none,none,left,none,none,none,left,none,left,left,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.473972602739726
1GR,Gaspereaux,2022-06-14,45.031181,-61.997579,5.59,5.7136,16.5,19.8712,80,42.108,0.9343,244.1851334,204.6795865,39.50554690000001,2,0.809696386,4.047868827,9,0.4,1.248528132,0.723068854,14.6414,0.4,0.4,0.7,9,NA,393.1613036,0.4,1.622745854,0.32130962,66.22136377,0.50202974,42.5133,9,159.2385,13.99942688,0.247630107,1,0.4,6.575580722,2.4379,75.33258,3.0952301,0.4,0.4,10.79628662,1.2423,8.745,2.025,57.465,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,left,left,none,none,left,none,none,none,none,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.4520547945205479
1LB,Musquodoboit,2022-07-19,45.04251,-63.01397,6.63,6.7664,19.6,16.86,272.7,197.5493,24.7981,202.6815212,170.2910222,32.390499000000005,2,35.18287328,23.32171484,12.5031,0.4,11.44278421,5.140765993,52.3525,0.485265811,2.357308965,4.052741298,17.2269,NA,1705.377105,1.709245906,1.893883759,2.5925813,451.8431637,3.573429428,116.6306,27.9901,10,32.39901469,2.156177633,1,0.4,36.30526379,13.1253,131.6982163,3.054918506,0.4,0.715180714,8.14528218,9.7895,14.545,7.555,91.75,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.547945205479452
1LR,Liscomb,2022-07-12,45.013011,-62.096808,5.1,5.4479,22.2,18.4833,22,10.5839,0.5033,231.8808678,204.1375864,27.7432814,2,1.060163654,3.928435856,9,0.4,0.780099427,0.56796192,3.2429,0.4,0.4,2.059483746,12.1792,NA,457.2026414,0.513411135,1.124393429,0.328715823,36.95975401,0.70513229,98.0342,9,317.7,18.13766107,0.439517486,1,0.4,2.796196103,0.8335,7.055862774,1.971138109,0.4,0.4,10.28156262,0.4841,9.602,1.625,61.305,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.5287671232876713
1MNB,Musquodoboit,2022-05-18,45.047398,-63.207292,6.94,6.6758,11.8,14.225,415,90.77,26.458,28.176,27.11,1.065999999999999,NA,NA,8.772,NA,NA,9.704,NA,NA,NA,NA,NA,NA,31,189.455,NA,1.232,1.643,129.593,0.553,NA,NA,NA,151.251,0.145,1,0.4,9.282,NA,60.5,0.512,0.4,NA,10.478,NA,5.235,0.808,22,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.3780821917808219
1MW,Medway,2021-03-31,44.163176,-64.66387,4.14,5.1617,6.6,15.9,29.7,31.5,2.213,256.259,254.998,1.261000000000024,2,1.707,3.645,9,0.4,1.006,0.742,4.8195,0.4,0.4,0.7,23.2167,4.105648,276.285,0.4,0.4,0.387,23.906,0.4,20.2661,9,10,10,0.381,1.476,0.4,5.801,1.2786,20.99979,1.342,0.4,0.4,4.145,NA,9.8505,19.15,49,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,left,none,none,none,left,left,none,none,left,none,left,left,left,none,none,left,none,none,none,none,left,left,none,none,none,none,none,0.2465753424657534
1MW,Medway,2021-04-21,44.163176,-64.66387,4.97,5.3305,10.6,17.6,29.8,32.6,2.681,352.6431729,310.9146224,41.72855050000004,2,2.961929743,4.068028286,9,0.4,1.354048307,0.942733038,5.0863,0.4,0.431422521,1.662151705,27.2348,5.396962207,305.5526092,0.522660957,0.553671743,0.489534625,29.69141255,0.678584866,11.6091,9,10,21.11892587,0.456926904,1,0.4,5.334589086,1.0302,21.7,2.092543522,0.4,0.4,6.004036535,NA,9.6165,0.83,108.5,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3041095890410959
20MQ,Musquodoboit,2021-03-30,45.099185,-62.978731,5.48,6.0993,4.1,18.6,0,23,3.627,145.087,124.702,20.38499999999999,2,0.488,4.863,9,0.4,1.193,0.4,3.0297,0.4,0.4,0.7,16.4708,4.416103,168.273,0.4,0.495,0.349,54.132,0.428,124.1112,9,10,10,0.162,1,0.4,1.58,1.7197,15.33333318,0.567,0.4,0.4,4.852,NA,5.245,2.83,63,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,left,none,left,left,left,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.24383561643835616
20MQ,Musquodoboit,2021-04-20,45.099185,-62.978731,5.52,4.6412,9.3,18,20.9,23,3.013,115.5910846,104.2437405,11.3473441,2,0.431096244,4.483808139,9,0.4,1.01506096,0.4,2.7515,0.4,0.4,0.7,17.247,4.313433868,118.9758971,0.4,0.496003112,0.431963732,26.4963974,0.432958976,47.7422,9,10,10,0.196145689,1,0.4,1.887617482,1.8533,15.3,0.5,0.4,0.4,2.313511682,NA,4.7235,1.31,40.5,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,left,none,left,left,left,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.3013698630136986
20MQ,Musquodoboit,2021-05-11,45.099185,-62.978731,5.66,6.4342,12.6,19.5,21.5,25.5,3.963,115.3801124,105.6644615,9.7156509,2,0.566408003,4.531160547,9,0.4,1.203328999,0.4,3.0744,0.4,0.4,0.831007275,41.906,5.145144642,179.4402115,1.00514528,1.107560883,0.51977468,23.60873186,0.496380975,203.7,9,96.401,10,0.248057009,1,0.4,2.211223946,2.0145,16.99983,0.536927727,0.4,0.4,7.312868319,NA,4.79,1.725,29,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,left,none,left,left,none,none,none,none,none,none,none,none,none,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3589041095890411
22MQ,Musquodoboit,2021-03-30,45.102333,-62.917964,6.99,5.1727,3.2,18.9,0,35.1,2.35,113.032,86.443,26.589,2,0.4,2.6,9,0.4,1.051,0.4,6.0945,0.4,0.4,0.7,14.4424,3.810331,129.883,0.4,0.628,0.288,38.352,0.425,40.1741,9,24.7493,10,0.151,1,0.4,3.112,1.7282,23.39999977,0.5,0.4,0.4,4.807,NA,5.8515,0.987,57.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,none,none,none,left,none,none,none,none,none,left,none,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.24383561643835616
22MQ,Musquodoboit,2021-05-11,45.102333,-62.917964,5.46,5.4285,9.1,19.6,38.1,43.8,2.853,119.0810287,106.2475303,12.83349840000001,2,0.4,2.766058386,9.5334,0.4,1.266579822,0.4,7.9399,0.4,0.4,0.835926295,29.7696,5.402974088,304.072652,0.4,0.942412385,0.54403212,28.36962067,0.565300103,75.4045,9,388.2,10,0.142977069,1,0.4,5.088790947,2.181,29.199708,0.599995772,0.4,0.4,4.319633653,NA,5.753,0.657,62.5,none,none,none,none,none,none,none,none,none,none,left,left,none,none,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3589041095890411
25MQ,Musquodoboit,2021-03-30,45.155812,-62.909066,NA,6.2554,NA,19,NA,29.8,3.776,78.313,72.81,5.503,2,0.433,2.522,9,0.4,2.362,0.4,2.8989,0.4,0.4,1.043,19.0003,7.479226,35.425,0.4,0.716,0.384,16.374,0.561,179.3503,9,10,12.628,0.19,1,0.4,1.594,4.5826,19.86666647,0.5,0.4,0.4,7.51,NA,4.802,1.665,20,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,left,none,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.24383561643835616
25MQ,Musquodoboit,2021-05-11,45.155812,-62.909066,5.74,6.4181,7.6,19.7,40.1,46.6,5.6,52.6893069,45.93097179,6.758335109999997,2,0.4,2.043545863,9.7707,0.4,4.347188477,0.4,2.8758,0.4,0.4,1.225546223,28.7807,14.06301488,45.32940963,0.4,0.891710324,0.779039644,5.951736056,0.55954754,216,9,28.9702,10,0.155604666,1,0.4,2.286571708,8.7151,31.066356,0.5,0.4,0.4,3.108752232,NA,2.321,0.496,7,none,none,none,none,none,none,none,none,none,none,left,left,none,none,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,none,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.3589041095890411
25MQ,Musquodoboit,2021-06-15,45.155812,-62.909066,6.15,6.724,15.6,18,122.8,145,8.486,11.736,10.211,1.5250000000000004,2,0.4,4.17,16.4671,0.4,17.866,0.4,3.1449,0.4,0.4,0.7,61.1198,50.977,9.237,0.4,1.096,1.546,5.677,0.565,265.4,9,10,10,0.274,1,0.4,2.7,41.8194,96.7,0.5,0.4,0.4,2.973,NA,1.379,0.177,9.5,none,none,none,none,none,none,none,none,none,none,left,left,none,none,left,none,left,none,left,left,left,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.4547945205479452
25MQ,Musquodoboit,2021-07-13,45.155812,-62.909066,6.03,6.5287,19,19,112.1,133.9,13.085,21.75268398,9.029972194,12.722711786,2,0.4,4.161480795,21.0922,0.4,15.12487973,0.4,3.0828,0.4,0.4,1.355089526,43.1324,NA,12.27184849,0.4,4.704171909,1.429794007,6.190875901,0.696213547,621.1,9,10,10,0.308143855,1,0.4,2.738575071,34.6889,89.265774,0.5,0.4,0.4,7.40518163,NA,2.4335,2.845,9.5,none,none,none,none,none,none,none,none,none,none,left,left,none,none,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.5315068493150685
25MQ,Musquodoboit,2021-08-17,45.155812,-62.909066,6.01,6.7044,17.7,18,90.5,92.7,8.473,22.22046863,12.80959992,9.410868709999999,2,0.4,3.113294035,24.5912,0.4,11.59468671,0.4,3.1546,0.4,0.4,1.069165834,13.6889,34.09392364,38.01398208,0.4,1.335028487,1.2486622,8.407402486,0.952675344,468.5,9,18.2447,10.52601336,0.304560753,1,0.4,2.67166226,25.2546,61.799382,0.5,0.4,0.4,24.55449352,NA,2.442,0.24,3,none,none,none,none,none,none,none,none,none,none,left,left,none,none,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,none,none,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.6273972602739726
26MQ,Musquodoboit,2021-03-30,45.16152,-62.895057,NA,5.7232,NA,19.3,NA,30.5,3.262,136.417,135.289,1.1280000000000143,2,0.4,6.657,9,0.4,2.026,0.4,3.1338,0.4,0.4,0.7,16.718,6.13372,105.575,0.4,0.4,0.261,40.67,0.4,86.7254,9,10,10,0.231,1,0.4,1.631,3.9162,20.33333313,0.755,0.4,0.4,7.601,NA,6.6835,1.415,60,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,none,none,none,left,left,none,none,left,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.24383561643835616
26MQ,Musquodoboit,2021-05-11,45.16152,-62.895057,5.74,6.0923,7.6,19.9,40.1,63.8,4.733,142.5631614,132.4067501,10.156411300000002,2,0.793905995,9.271896502,10.3768,0.4,5.732113575,0.4,4.1698,0.4,0.4,1.32598317,26.0425,16.80729397,174.1688033,0.4,0.515639415,0.605683918,37.01275728,0.458562911,72.3324,9,360.1,10,0.297298729,1,0.4,3.068965317,12.7239,42.532908,0.86453901,0.4,0.4,5.620721475,NA,5.402,0.6905,46.5,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3589041095890411
26MW,Medway,2021-04-21,44.203074,-64.622127,4.4,4.8105,10.8,17.6,48,52.3,1.814,193.2653708,166.6626803,26.602690499999994,2,0.494343082,2.767322164,9,0.4,1.230711043,0.511492458,9.7706,0.4,0.4,0.781574127,37.8713,5.588972687,446.6353072,0.438957635,0.726349299,0.610948813,69.81989536,0.753842193,12.592,9,10,10,0.344100148,1,0.4,7.072204662,1.8405,34.9,1.014970167,0.4,0.4,7.251174632,NA,9.944,0.71,129,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3041095890410959
27LH,LaHave,2021-03-29,44.63788,-64.76474,4.29,3.6698,3.4,17.8,28.5,117.3,0,222.418,209.345,13.073000000000008,2,0.484,3.217,9,0.4,0.977,0.4,4.4795,0.4,0.4,0.7,14.7694,3.646143,112.514,0.4,0.551,0.293,28.214,0.4,14451.4,9,11.683,10,0.216,1,0.4,2.236,1.157,78.2,1.289,0.4,0.4,8.479,NA,9.4915,1.05,67,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,left,none,left,left,left,none,none,none,left,none,none,none,left,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.2410958904109589
27LH,LaHave,2021-04-19,44.63788,-64.76474,4.67,6.1199,6.8,16.6,28.5,41,4.268,264.0642083,234.688569,29.375639300000017,2,0.707316414,3.49171593,9,0.4,0.949625498,0.4,4.584,0.4,0.4,1.729341164,20.2842,4.018719438,177.990321,0.4,0.907766328,0.40007396,15.67782146,0.469516776,11.1642,9,10,10,0.360655198,1,0.4,3.31735958,0.8752,27.3,1.71034014,0.4,0.4,4.400086201,NA,10.5,0.52,114,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.29863013698630136
27MW,Medway,2021-04-21,44.20484,-64.62771,4.88,5.1894,10.8,17.5,33.9,37.3,2.091,176.3200031,149.281124,27.038879100000003,2,0.4,2.734739415,9,0.4,1.234019896,0.51725296,6.0622,0.4,0.4,1.079501844,17.6381,5.319742171,156.0875283,0.4,0.602149604,0.543563499,31.39617567,0.494116949,24.1388,9,10,10,0.325786468,1,0.4,4.679128836,1.7137,24.9,1.091829531,0.4,0.4,6.522369456,NA,8.1375,0.86,95,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3041095890410959
27MW,Medway,2021-05-12,44.20484,-64.62771,4.98,4.627,10.9,18.8,32.8,37.1,2.316,179.3480265,179.15565,0.19237649999999462,2,0.418649242,2.569674353,9,0.4,1.112427212,0.533611546,5.7902,0.4,0.4,1.125194128,23.7888,4.869247687,171.9550971,0.467342399,0.493492152,0.507896294,27.29473378,0.488110032,47.125,9,22.3336,10,0.283638393,1,0.4,4.341408139,1.5355,24.733086,1.189577619,0.4,0.4,8.506529707,NA,8.8145,0.709,108.5,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,none,none,none,none,none,none,none,none,none,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.36164383561643837
29MQ,Musquodoboit,2021-03-30,44.994551,-63.134766,5.06,5.7117000000000004,4.1,16.5,23.1,23.5,3.531,211.479,198.843,12.636000000000024,2,0.4,3.055,9,0.4,1.362,0.424,2.7214,0.4,0.4,0.824,9,4.743382,165.942,0.4,0.447,0.326,33.316,0.4,66.4302,9,10,10,0.11,1,0.4,1.507,1.1564,15.66666651,1.29,0.4,0.4,2.629,NA,9.2495,2.405,96.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,left,none,none,left,none,none,none,left,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.24383561643835616
29MQ,Musquodoboit,2021-04-20,44.994551,-63.134766,5.73,6.3685,8,16.7,20.3,27.3,5.31,226.2644511,208.5830161,17.681434999999993,2,0.4,4.531667674,9,0.4,2.22157416,0.586268389,2.6332,0.4,0.4,0.7,21.8706,8.778820202,260.9273864,0.4,0.415849794,0.784737621,32.55872082,0.446316972,82.346,9,10,10,0.200722864,1,0.4,2.317767884,1.1863,18.2,1.456603286,0.4,0.4,4.724796196,NA,8.9865,1.38,104.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,left,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3013698630136986
29MQ,Musquodoboit,2021-05-11,44.994551,-63.134766,5.22,5.8251,11.2,19.1,20.2,24.4,4.009,253.6399622,236.5993328,17.0406294,2,0.4,4.169071653,9,0.4,1.460879628,0.649351979,2.4462,0.4,0.4,0.903749325,27.833,5.849549565,256.1886596,0.4,0.53350003,0.53466079,26.42246041,0.427319426,54.5283,9,9.3844,10,0.138962092,1,0.4,2.190688064,1.0645,16.266504,1.418589411,0.4,0.4,2.138855481,NA,9.669,1.3,112,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3589041095890411
2CRL,LaHave,2022-07-21,44.6823479,-64.9214792,6.18,6.8164,17.5,17.6549,107.1,76.9512,15.9924,181.0726711,114.1605636,66.9121075,2,1.382124171,12.9873335,30.6788,0.4,7.082442435,0.4,16.8679,0.4,0.698815757,0.998987454,44.685,NA,1435.829616,0.4,6.930239128,1.58991024,87.47914322,0.832905975,34.3786,11.2728,10,32.76829046,1.017643595,1,0.4,12.77083838,4.0286,51.30028699,2.763743211,0.4,0.4,3.791204375,6.7095,12.96,3.105,78.575,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,left,none,left,none,none,none,none,none,left,none,none,none,none,none,none,left,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.5534246575342465
2DB,Musquodoboit,2022-05-17,45.075745,-63.135773,6.39,6.7198,10.7,17.0597,22.9,5.6753,2.7207,38.764,37.52,1.2439999999999998,NA,NA,2.22,NA,NA,1.37,NA,NA,NA,NA,NA,NA,5.53,45.955,NA,1.413,0.511,3.963,NA,NA,NA,NA,NA,0.224,1,0.4,2.213,NA,3.78,NA,0.4,NA,1.898,NA,2.675,1.22,17,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.37534246575342467
2ER,ERSH,2022-07-26,44.962041,-62.492653,5.6,5.9611,17.6,18.7082,81.8,-1.3299,0.835,198.879711,137.9301528,60.949558199999984,2,2.05188272,3.532027372,NA,0.4,0.740683516,0.493362074,NA,0.4,0.4,0.903998962,NA,NA,481.7724306,0.458736599,1.077265869,0.337758622,84.92023102,0.488401348,NA,NA,NA,10,0.206366688,1,0.4,2.851176814,NA,-0.886591134,2.105095137,0.4,0.4,4.191518416,0.70895,6.904,1.6,32.85,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,left,none,none,none,none,none,none,none,none,none,none,none,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.5671232876712329
2LB,Musquodoboit,2022-07-19,45.039238,-63.015119,6.34,6.8411,17.4,17.6428,96,72.8528,15.3861,204.7309672,195.333558,9.397409199999998,2,10.38651961,11.28954105,40.681,0.4,5.746028441,0.66575423,16.7546,0.4,0.99726915,1.974700884,18.9552,NA,1245.109573,0.63854641,1.858978536,1.691314432,552.7913999,2.464073289,581.4,14.1254,183.2163,23.79381438,0.409409567,1,0.4,10.69423172,2.252,48.56804765,3.160869283,0.4,0.528308516,8.367157775,6.4305,12.425,11.8,54.85,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.547945205479452
